Date,Timefile,Time,Frame,Size (cm),Direction,Notes
June 20,14:20,14:29:49,2803/2853,35,up,
June 20,14:20,14:29:49,2803/2853,56,up,
June 20,18:00,18:02:37,737/2823,45,up,
June 20,18:00,18:04:12,1176/2823,42,up,
June 21,07:30,07:39:11,2587/2813,50,up,
June 21,09:20,09:26:02,1704/2803,46,up,
June 21,09:20,09:26:02,1704/2803,52,,
June 21,09:20,09:26:02,1704/2803,40,,
June 21,09:20,09:26:02,1704/2803,47,,
June 21,09:20,09:26:02,1704/2803,41,,
June 21,11:10,-1000/0000,,30-50 cm,up,*
June 21,12:30,12:31:58,547/2808,46,↻,
June 21,12:30,12:31:58,547/2808,55,↻,
June 21,14:20,14:27:34,2142/2825,48,up,
June 21,14:20,14:27:34,2142/2825,58,up,
June 21,15:17,15:16:55,1941/2815,44,up,
June 21,15:17,15:16:55,1941/2815,64,up,
June 21,15:17,15:16:55,1941/2815,38,up,
June 21,15:17,15:16:55,1941/2815,45,up,
June 21,15:17,15:16:55,1941/2815,71,up,
June 21,15:17,15:16:55,1941/2815,54,up,
June 21,15:17,15:16:55,1941/2815,51,up,
June 21,15:17,15:16:55,1941/2815,40,up,
June 21,15:17,15:16:55,1941/2815,45,up,
June 21,15:17,15:16:55,1941/2815,48,up,
June 21,15:30,15:16:55,-1000/0000,30-50 cm,↻,*
June 22,11:20,11:25:53,1678/2843,38,DS,
June 22,11:20,11:25:53,1678/2843,46,DS,
June 22,11:50,11:53:24,950/2814,48,DS,
June 22,11:50,11:53:24,950/2814,59,DS,
June 22,14:40,14:40:14,-1000/0000,40-55,up,*
July 3,00:00,12:00:02,6/2771,44,up,
July 3,00:00,12:00:02,7/2771,60,up,
July 3,00:00,12:00:05,20/2771,48,up,
July 3,00:00,12:00:33,144/2771,55,up,
July 3,00:00,12:00:50,225/2771,51,up,
July 3,00:00,12:01:30,411/2771,41,up,
July 3,00:00,12:02:25,666/2771,53,up,
July 3,00:00,12:04:24,1204/2771,41,up,
July 3,00:00,12:06:09,1694/2771,46,up,
July 3,00:00,12:06:43,1855/2771,57,up,
July 3,00:00,12:07:11,1979/2771,49,up,
July 3,00:50,12:56:12,1718/2753,53,up,
July 3,00:50,12:57:06,1955/2753,42,up,
July 3,00:50,12:57:14,1990/2753,45,up,
July 3,01:20,01:23:13,882/2774,48,up,
July 3,01:20,01:27:27,2059/2774,45,up,
July 3,01:20,01:29:49,2727/2774,56,up,
July 3,01:30,01:26:16,1726/2770,57,up,
July 3,01:30,01:36:26,1777/2770,40,up,
July 3,02:20,02:20:56,260/2776,54,up,
July 3,02:20,02:23:05,852/2776,47,up,
July 3,02:20,02:28:41,2409/2776,49,up,
July 3,02:10,02:18:35,2394/2793,56,up,
July 3,03:20,03:20:34,156/2791,58,up,
July 3,03:20,03:21:41,466/2791,60,up,
July 3,03:20,03:24:07,1159/2791,52,up,
July 3,03:20,03:24:08,1163/2791,60,DS,
July 3,03:20,03:25:48,1614/2791,58,up,
July 3,03:20,03:28:26,2355/2791,49,up,
July 3,03:50,03:54:33,1258/2782,48,up,
July 3,03:50,03:56:43,1862/2782,57,up,
July 3,03:50,03:56:56,1928/2782,48,up,
July 3,03:50,03:57:18,2034/2782,46,up,
July 3,03:50,03:58:38,2405/2782,78,up,
July 3,04:10,04:10:11,50/2789,47,up,
July 3,04:10,04:10:22,102/2789,52,up,
July 3,04:10,04:11:27,405/2789,48,up,
July 3,04:10,04:15:17,1467/2789,50,up,
July 3,04:10,04:15:17,1467/2789,50,up,
July 3,04:10,04:17:51,2192/2789,59,up,
July 3,04:10,04:18:32,2382/2789,56,up,
July 3,04:00,04:03:06,863/2781,50,up,
July 3,04:00,04:03:34,993/2781,55,up,
July 3,04:00,04:07:26,2057/2781,48,up,
July 3,04:00,04:09:06,2535/2781,59,up,
July 3,05:00,05:00:12,44/2791,52,up,
July 3,05:00,05:00:33,143/2791,45,up,
July 3,05:00,05:01:36,437/2791,49,up,
July 3,05:00,05:01:36,437/2791,40,up,
July 3,05:00,05:06:42,1869/2791,58,up,
July 3,05:00,05:09:03,2528/2791,57,up,
July 3,11:50,11:56:00,-1000/0000,,↻,
July 3,12:30,12:35:14,1463/2799,87,up,
July 3,14:20,14:21:36,-1000/0000,10-60 cm,DS,
July 3,14:30,14:30:47,218/2779,60,up,
July 3,14:30,14:30:47,218/2779,49,up,
July 3,14:30,14:30:47,218/2779,47,up,
July 3,14:30,14:30:47,218/2779,55,up,
July 3,14:30,14:30:47,218/2779,40,up,
July 3,14:30,14:30:47,218/2779,47,up,
July 3,14:30,14:30:47,218/2779,56,up,
July 3,22:50,22:55:28,1503/2552,49,DS,
July 3,22:50,22:55:28,1503/2552,50,DS,
July 3,22:50,22:55:28,1503/2552,44,DS,
July 3,22:50,22:55:28,1503/2552,60,DS,
July 3,22:50,22:55:28,1503/2552,50,DS,
July 3,22:50,22:55:28,1503/2552,40,DS,
July 3,22:50,22:55:28,1503/2552,40,DS,
July 3,22:50,22:57:50,2016/2552,60,up,
July 3,22:50,22:57:50,2016/2552,40,up,
July 3,22:50,22:57:50,2016/2552,46,up,
July 3,22:50,22:57:50,2016/2552,53,up,
July 3,22:50,22:57:50,2016/2552,49,up,
July 3,22:50,22:57:50,2016/2552,57,up,
July 3,22:50,22:57:50,2016/2552,54,up,
July 3,22:50,22:57:50,2016/2552,49,up,
July 3,22:50,22:57:50,2016/2552,41,up,
July 3,22:50,22:57:50,2016/2552,60,up,
July 3,22:50,22:59:09,2315/2552,47,DS,
July 3,22:50,22:59:09,2315/2552,47,DS,
July 3,22:50,22:59:09,2315/2552,36,DS,
July 3,22:50,22:59:09,2315/2552,46,DS,
July 3,22:50,22:59:09,2315/2552,35,DS,
July 3,22:50,22:59:09,2315/2552,69,DS,
July 3,22:50,22:59:09,2315/2552,44,DS,
July 3,22:50,22:59:09,2315/2552,55,DS,
July 3,23:50,23:52:35,721/2795,49,up,
July 3,23:50,23:55:18,1492/2795,66,up,
July 3,23:50,23:55:18,1492/2795,48,up,
July 3,23:50,23:55:58,1660/2795,42,up,
July 3,23:50,23:55:58,1660/2795,38,up,
July 3,23:50,23:55:58,1660/2795,45,up,
July 3,23:50,23:55:58,1660/2795,51,up,
July 3,23:50,23:55:58,1660/2795,59,up,
July 3,23:50,23:56:01,1675/2795,58,up,
July 3,23:50,23:56:33,1831/2795,61,up,
July 3,23:50,23:57:20,2047/2795,58,DS,
July 3,23:50,23:58:24,2351/2795,40,↻,
July 3,23:50,23:58:24,2351/2795,61,↻,
July 3,23:50,23:58:38,2408/2795,53,DS,
July 3,23:50,23:59:15,2577/2795,65,DS,
July 3,23:50,23:59:52,2759/2795,61,DS,
July 3,23:30,23:32:13,602/2766,52,DS,
July 3,23:30,23:33:02,830/2766,55,up,
July 3,23:30,23:33:10,868/2766,51,up,
July 3,23:30,23:33:45,1021/2766,60,up,
July 3,23:30,23:36:54,1902/2766,59,up,
July 4,00:10,12:12:32,701/2792,53,up,
July 4,00:10,12:12:32,701/2792,43,up,
July 4,00:10,12:13:47,1056/2792,60,DS,
July 4,00:10,12:14:54,1368/2792,42,up,
July 4,00:10,12:18:24,2341/2792,57,DS,
July 4,00:10,12:18:43,2429/2792,56,up,
July 4,00:10,12:19:45,2720/2792,86,up,
July 4,00:30,12:36:43,1871/2773,42,up,
July 4,01:00,01:01:33,426/2785,65,up,
July 4,01:00,01:02:15,624/2785,44,up,
July 4,01:00,01:04:10,1164/2785,58,up,
July 4,01:00,01:04:16,1194/2785,46,up,
July 4,01:00,01:06:10,1714/2785,60,up,
July 4,01:00,01:06:37,1843/2785,48,up,
July 4,01:00,01:06:38,1850/2785,54,up,
July 4,01:00,01:08:36,2400/2785,47,up,
July 4,01:00,01:09:54,2759/2785,58,DS,
July 4,01:50,01:50:12,46/2785,60,up,
July 4,01:50,01:50:12,46/2785,50,up,
July 4,01:50,01:50:12,46/2785,54,up,
July 4,01:50,01:50:12,46/2785,47,up,
July 4,01:50,01:51:57,530/2785,52,up,
July 4,01:50,01:51:57,530/2785,52,up,
July 4,01:50,01:52:52,794/2785,64,up,
July 4,01:50,01:53:52,1065/2785,59,up,
July 4,01:50,01:54:05,1120/2785,53,up,
July 4,01:50,01:54:23,1206/2785,45,up,
July 4,01:50,01:54:26,1219/2785,53,up,
July 4,01:50,01:54:26,1219/2785,56,up,
July 4,01:50,01:54:26,1219/2785,40,up,
July 4,01:50,01:54:26,1219/2785,48,up,
July 4,01:50,01:54:43,1304/2785,56,up,
July 4,01:50,01:55:17,1459/2785,54,up,
July 4,01:50,01:56:07,1697/2785,40,up,
July 4,01:50,01:56:07,1697/2785,46,up,
July 4,01:50,01:56:07,1697/2785,51,up,
July 4,01:50,01:56:07,1697/2785,54,up,
July 4,01:50,01:58:56,2493/2785,55,up,
July 4,01:50,01:59:14,2579/2785,45,up,
July 4,01:50,01:59:14,2579/2785,37,up,
July 4,02:30,02:30:23,93/2770,90,up,
July 4,02:30,02:31:08,300/2770,47,up,
July 4,02:30,02:31:08,300/2770,47,up,
July 4,02:30,02:32:26,651/2770,41,up,
July 4,02:30,02:33:07,836/2770,61,up,
July 4,02:30,02:34:09,1125/2770,48,up,
July 4,02:30,02:34:09,1125/2770,53,up,
July 4,02:30,02:35:34,1529/2770,58,up,
July 4,02:30,02:36:08,1682/2770,57,up,
