Date,Timefile,Time,Frame,Size (cm),Direction,Notes,
June 9,01:40,01:40:09,32/2804,53,down,,
June 9,01:40,01:43:07,866/2804,57,down,,
June 9,01:40,01:44:26,1240/2804,52,up,,
June 9,01:40,01:46:48,1907/2804,51,up,,
June 9,01:40,01:48:15,2315/2804,50,up,,
June 9,01:40,01:49:01,2529/2804,50,up,,
June 9,01:40,01:49:18,2610/2804,52,up,,
June 9,01:10,01:14:16,1181/2800,52,up,,
June 9,02:10,02:15:05,1394/2773,51,up,*File name is 021006,
June 9,02:10,02:16:05,1674/2773,55,up,,
June 9,02:10,02:16:25,1763/2773,54,down,,
June 9,02:10,02:16:16,1720/2773,47,↻,,
June 9,02:10,02:16:49,1878/2773,60,down,,
June 9,02:10,02:17:08,1967/2773,54,up,,
June 9,02:20,02:20:36,155/2805,58,up,,
June 9,02:20,02:21:48,501/2805,60,up,,
June 9,02:20,02:22:05,585/2805,60,down,,
June 9,02:20,02:23:57,1099/2805,56,up,,
June 9,02:20,02:25:09,1490/2805,50,up,,
June 9,02:20,02:26:07,1700/2805,55,up,,
June 9,02:20,02:28:39,2420/2805,50,up,,
June 9,02:20,02:28:54,2490/2805,49,up,,
June 9,03:00,03:00:14,55/2818,58,up,,
June 9,03:00,03:00:27,118/2818,56,up,,
June 9,03:00,03:04:14,1189/2818,59,up,,
June 9,03:00,03:04:28,1254/2818,48,up,,
June 9,04:20,04:25:18,1491/2827,45,up,,
June 9,04:20,04:25:35,1571/2827,50,up,,
June 9,04:50,04:50:32,145/2801,54,up,,
June 9,04:50,04:53:27,967/2801,56,up,,
June 9,04:50,04:57:48,2185/2801,58,down,,
June 9,04:50,04:58:31,2389/2801,72,up,otter,
June 9,05:10,05:17:07,2010/2821,56,down,*had to correct start frame to see both fish (1960/2821),
June 9,05:10,05:17:07,2011/2821,49,down,,
June 9,20:20,20:25:30,1537/2783,92,up,,
June 9,20:20,20:25:30,1537/2783,81,up,,
June 9,21:20,21:27:51,2203/2808,79,up,,
June 9,21:20,21:28:53,2492/2808,80,up,,
June 9,23:10,23:19:12,2401/2791,86,down,*had to correct start frame to see fish (2578/2821),
June 10,00:20,00:20:10,37/2795,51,up,,
June 10,00:20,00:20:31,135/2795,49,up,,
June 10,00:20,00:23:39,1013/2795,45,down,,
June 10,00:20,00:24:04,1132/2795,48,up,,
June 10,00:20,00:26:46,1892/2795,45,up,,
June 10,00:20,00:26:51,1913/2795,46,up,,
June 10,00:00,00:04:19,1201/2792,57,up,,
June 10,00:00,00:05:40,1585/2729,60,up,,
June 10,00:00,00:05:44,1601/2729,59,up,,
June 10,00:00,00:05:47,1619/2729,55,up,,
June 10,02:30,02:31:20,355/2786,59,up,,
June 10,02:30,02:36:23,1764/2786,52,up,,
June 10,02:30,02:36:47,1882/2786,59,up,,
June 10,02:50,02:51:02,277/2788,58,up,,
June 10,02:50,02:58:31,2383/2788,54,up,,
June 10,03:10,03:12:14,622/2786,57,up,,
